GeneID,p_val,avg_logFC,pct.1,pct.2,p_val_adj
TCERG1,1.09E-58,0.255120744,0.282,0.145,3.62E-54
HSPB11,1.14E-58,-0.338779402,0.168,0.308,3.76E-54
BCL7A,1.70E-58,0.254799454,0.31,0.165,5.63E-54
SERPINI1,1.87E-58,0.331388845,0.209,0.087,6.20E-54
PTPN4,2.45E-58,0.280633401,0.213,0.093,8.11E-54
TUBA1B,2.49E-58,0.282832237,0.942,0.894,8.23E-54
GNB1,3.13E-58,0.254430452,0.375,0.228,1.03E-53
PDLIM7,3.60E-58,-0.291043653,0.132,0.265,1.19E-53
MRPS33,4.09E-58,-0.312567609,0.249,0.401,1.35E-53
MLF1,5.64E-58,-0.368557673,0.166,0.297,1.87E-53
CHCHD5,7.44E-58,-0.277856678,0.141,0.277,2.46E-53
MIDN,1.40E-57,0.260734081,0.278,0.144,4.63E-53
ITM2C,1.78E-57,-0.35678721,0.216,0.36,5.88E-53
ECHS1,1.88E-57,-0.309604109,0.325,0.476,6.23E-53
SLC39A6,2.67E-57,0.266642719,0.414,0.262,8.84E-53
KRT10,2.84E-57,-0.332032027,0.404,0.544,9.40E-53
TCEAL2,3.23E-57,0.255639964,0.399,0.243,1.07E-52
KNOP1,3.53E-57,0.282003434,0.471,0.319,1.17E-52
TCIM,5.95E-57,0.275689863,0.112,0.026,1.97E-52
QDPR,7.06E-57,0.279763891,0.328,0.188,2.33E-52
DNPH1,1.01E-56,-0.315253794,0.232,0.376,3.33E-52
PARP1,1.54E-56,0.266326405,0.575,0.422,5.10E-52
NME3,1.97E-56,-0.31782009,0.276,0.424,6.52E-52
IMMP1L,2.16E-56,-0.297934276,0.163,0.301,7.14E-52
PDLIM4,2.26E-56,-0.273385834,0.149,0.286,7.48E-52
PTP4A1,2.87E-56,0.266003834,0.464,0.312,9.48E-52
TMEM258,3.38E-56,-0.276004201,0.66,0.738,1.12E-51
MCUR1,5.30E-56,0.307265058,0.293,0.162,1.75E-51
IGFBP4,6.14E-56,-0.291039768,0.044,0.139,2.03E-51
NDUFAF3,7.51E-56,-0.355466996,0.383,0.518,2.48E-51
CALR,8.16E-56,-0.329679532,0.519,0.624,2.70E-51
TOP2B,9.87E-56,0.267084292,0.336,0.196,3.26E-51
APEX1,1.22E-55,0.254702635,0.575,0.431,4.05E-51
LAMTOR4,2.25E-55,-0.311245806,0.48,0.596,7.42E-51
WSB1,2.45E-55,0.255599478,0.708,0.566,8.09E-51
KCNQ1OT1,2.93E-55,-0.386680428,0.239,0.379,9.68E-51
DZIP3,5.31E-55,-0.31894436,0.12,0.244,1.75E-50
OLA1,5.75E-55,0.257012968,0.439,0.291,1.90E-50
DHRS7,7.06E-55,-0.276374055,0.152,0.29,2.33E-50
DPCD,9.11E-55,-0.297345717,0.159,0.294,3.01E-50
PGAP1,9.46E-55,0.278469565,0.188,0.079,3.13E-50
P4HTM,1.04E-54,-0.270233691,0.118,0.241,3.43E-50
SCG5,1.43E-54,0.286668906,0.545,0.399,4.72E-50
MYC,2.07E-54,-0.260645848,0.051,0.148,6.84E-50
SEC11A,2.22E-54,-0.325223733,0.392,0.522,7.32E-50
PHPT1,4.75E-54,-0.290811732,0.717,0.77,1.57E-49
RBBP4,5.77E-54,0.282771023,0.528,0.387,1.91E-49
TANK,5.86E-54,0.268205373,0.299,0.166,1.94E-49
CDKN1B,6.29E-54,0.257551852,0.304,0.169,2.08E-49
BNIP3L,6.70E-54,0.291984051,0.59,0.449,2.21E-49
MAP1LC3A,7.18E-54,-0.455229062,0.471,0.579,2.37E-49
GFAP,1.31E-53,-0.478272422,0.025,0.104,4.34E-49
TMED10,6.30E-53,-0.316277698,0.246,0.382,2.08E-48
ZFHX4,6.75E-53,-0.25528771,0.144,0.28,2.23E-48
IRF2BPL,7.13E-53,0.250730717,0.273,0.147,2.36E-48
YIF1A,9.22E-53,-0.295461363,0.227,0.367,3.05E-48
TNPO1,9.67E-53,0.266418289,0.313,0.182,3.19E-48
CTBP2,1.04E-52,0.252619441,0.254,0.13,3.45E-48
ALKBH7,1.08E-52,-0.331026846,0.429,0.555,3.57E-48
AURKAIP1,1.17E-52,-0.314633461,0.489,0.597,3.87E-48
RAB5C,1.22E-52,0.257407595,0.462,0.323,4.02E-48
C19orf53,1.23E-52,-0.296133362,0.525,0.631,4.05E-48
DMAC1,1.31E-52,-0.322937705,0.343,0.475,4.33E-48
SELENOK,1.48E-52,-0.329257218,0.505,0.618,4.89E-48
ETV1,2.64E-52,0.287541745,0.149,0.054,8.72E-48
PSIP1,2.93E-52,0.252874895,0.658,0.525,9.68E-48
ROMO1,3.82E-52,-0.308455807,0.463,0.577,1.26E-47
HSPA5,8.65E-52,-0.353564517,0.367,0.507,2.86E-47
UQCC3,1.28E-51,-0.272626776,0.19,0.327,4.23E-47
SIGIRR,1.81E-51,0.274351318,0.24,0.123,5.98E-47
SRSF4,3.04E-51,0.262890303,0.477,0.33,1.01E-46
CELF1,1.56E-50,0.265248722,0.386,0.247,5.16E-46
ZEB2,1.64E-50,0.283130017,0.259,0.138,5.43E-46
MT-ND5,1.80E-50,-0.269673716,0.769,0.809,5.94E-46
RPL7L1,2.73E-50,0.255144342,0.443,0.3,9.01E-46
LRPAP1,3.47E-50,-0.31416619,0.284,0.419,1.15E-45
GARS,4.96E-50,0.255891812,0.313,0.181,1.64E-45
SMIM30,7.23E-50,-0.294594599,0.322,0.463,2.39E-45
LDB2,7.32E-50,0.292117031,0.181,0.079,2.42E-45
CSNK2A1,7.81E-50,0.262688821,0.318,0.189,2.58E-45
HSPE1,1.34E-49,-0.284032718,0.657,0.73,4.44E-45
THRAP3,2.47E-49,0.267570982,0.444,0.307,8.15E-45
COX14,1.76E-48,-0.259856899,0.206,0.343,5.83E-44
PTPRS,2.73E-48,0.347243337,0.328,0.194,9.03E-44
PLPPR5,3.71E-48,-0.505978001,0.13,0.232,1.23E-43
DECR1,5.79E-48,-0.255420353,0.145,0.272,1.91E-43
SVIP,1.19E-47,-0.379214482,0.158,0.277,3.94E-43
PRKX,2.23E-47,0.325834111,0.243,0.131,7.38E-43
SBNO1,2.66E-47,0.265794521,0.386,0.252,8.79E-43
GADD45B,4.19E-47,-0.287084276,0.029,0.105,1.39E-42
GNAS,4.41E-47,-0.34623786,0.54,0.626,1.46E-42
TECR,1.29E-46,-0.382939908,0.377,0.505,4.26E-42
COL6A1,1.49E-46,-0.279695248,0.129,0.245,4.93E-42
NECAB1,1.65E-46,-0.262375464,0.07,0.168,5.46E-42
FMC1,1.67E-46,-0.290941959,0.218,0.347,5.52E-42
CXXC5,1.93E-46,-0.272441184,0.151,0.272,6.39E-42
VKORC1,3.20E-46,-0.302972361,0.345,0.476,1.06E-41
LAGE3,3.29E-46,-0.295966613,0.302,0.431,1.09E-41
CUTA,4.46E-46,-0.265472949,0.698,0.747,1.47E-41
PNKD,6.38E-46,-0.27430586,0.234,0.367,2.11E-41
C6orf48,1.17E-45,-0.292937667,0.581,0.661,3.87E-41
TMCO1,1.78E-45,-0.305566019,0.388,0.513,5.87E-41
KTN1,3.14E-45,-0.31982268,0.39,0.505,1.04E-40
SCARB2,4.21E-45,-0.310149933,0.21,0.332,1.39E-40
RNF145,5.98E-45,-0.272215538,0.124,0.235,1.98E-40
NDUFC1,8.04E-45,-0.315006182,0.468,0.571,2.66E-40
GUK1,1.26E-44,-0.272748321,0.694,0.755,4.17E-40
SEC62,1.41E-44,-0.299083089,0.627,0.703,4.68E-40
UBXN4,1.64E-44,-0.298574479,0.419,0.54,5.43E-40
SSTR2,2.45E-44,0.289176552,0.368,0.231,8.09E-40
ARL1,4.48E-44,-0.252864776,0.154,0.273,1.48E-39
NKAIN4,8.17E-44,-0.312670162,0.091,0.191,2.70E-39
JKAMP,1.54E-43,-0.25263468,0.164,0.284,5.10E-39
SSR3,1.82E-43,-0.289445097,0.245,0.373,6.02E-39
AK1,3.43E-43,-0.398606667,0.321,0.436,1.13E-38
C1orf122,8.12E-43,-0.302552516,0.405,0.513,2.69E-38
AC090498.1,1.18E-42,-0.27775133,0.244,0.369,3.88E-38
CISD2,1.35E-42,-0.272328239,0.235,0.361,4.46E-38
ANKRD37,1.86E-42,-0.309209934,0.096,0.196,6.14E-38
PSAP,1.25E-41,-0.272359943,0.614,0.679,4.14E-37
KDELR2,1.34E-41,-0.308503358,0.356,0.473,4.43E-37
TAX1BP1,1.60E-41,-0.305329383,0.368,0.485,5.30E-37
TIMM8B,2.09E-41,-0.288248418,0.477,0.574,6.91E-37
MESP1,2.38E-41,-0.269270315,0.123,0.227,7.87E-37
ZFP36L1,8.79E-41,-0.258516539,0.176,0.301,2.90E-36
MYDGF,9.27E-41,-0.288893471,0.334,0.456,3.06E-36
IFI27L1,1.59E-40,-0.26350073,0.191,0.308,5.24E-36
